publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Prehospital and Disaster Medicine	1049-023X	1945-1938	1985-01-01	1	S1				http://journals.cambridge.org/action/displayBackIssues?jid=PDM		PDM		fulltext		Cambridge University Press	Serial								P	
Primary Health Care Research & Development	1463-4236	1477-1128	2000-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=PHC		PHC		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=PHC&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Probability in the Engineering and Informational Sciences	0269-9648	1469-8951	1987-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=PES		PES		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=PES&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Proceedings of the American Political Science Association	1520-8605		1905-12-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=POP		POP		fulltext		Cambridge University Press	Serial								P	
Proceedings of the British Society of Animal Production (1972)	0308-2296	0308-2290	1972-01-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=PBA		PBA		fulltext		Cambridge University Press	Serial								P	
Proceedings of the Edinburgh Mathematical Society	0013-0915	1464-3839	1883-02-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=PEM		PEM		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=PEM&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Proceedings of the International Astronomical Union	1743-9213	1743-9221	2004-03-01	2004	IAUC195				http://journals.cambridge.org/action/displayBackIssues?jid=IAU		IAU		fulltext		Cambridge University Press	Serial								P	
Proceedings of the London Mathematical Society	0024-6115	1460-244X	1997-01-01	74	01	2006-11-01	93	03	http://journals.cambridge.org/action/displayBackIssues?jid=PLM		PLM		fulltext		Cambridge University Press	Serial								P	
Proceedings of the Nutrition Society	0029-6651	1475-2719	1944-03-01	1	1-2				http://journals.cambridge.org/action/displayBackIssues?jid=PNS		PNS		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=PNS&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Proceedings of the Prehistoric Society	0079-497x	2050-2729	1935-01-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=PPR		PPR		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=PPR&tab=openaccess for available Open Access articles	Cambridge University Press	Serial							PPE	P	
Proceedings of the Prehistoric Society of East Anglia	0958-8418		1911-01-01	1	01	1934-01-01	7	03	http://journals.cambridge.org/action/displayBackIssues?jid=PPE		PPE		fulltext		Cambridge University Press	Serial								P	
Proceedings of the Royal Society of Edinburgh	0370-1646	0370-1646	1845-01-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=PRE		PRE		fulltext		Cambridge University Press	Serial								P	
Proceedings of the Royal Society of Edinburgh Section B: Biological Sciences	0269-7270	0269-7270	1941-01-01	61	01				http://journals.cambridge.org/action/displayBackIssues?jid=PRB		PRB		fulltext		Cambridge University Press	Serial								P	
Proceedings of the Royal Society of Edinburgh, Section: A Mathematics	0308-2105	1473-7124	1941-01-01	61	01				http://journals.cambridge.org/action/displayBackIssues?jid=PRM		PRM		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=PRM&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Proceedings of the Society of Antiquaries of London	0950-7973		1849-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=PNT		PNT		fulltext		Cambridge University Press	Serial								P	
Progress in Neurotherapeutics and Neuropsychopharmacology	1748-2321	1748-233X	2006-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=PNN		PNN		fulltext		Cambridge University Press	Serial								P	
Prospects	0361-2333	1471-6399	1976-10-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=PTS		PTS		fulltext		Cambridge University Press	Serial								P	
Psychological Medicine	0033-2917	1469-8978	1970-11-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=PSM		PSM		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=PSM&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Psychological Medicine Monograph Supplement	0264-1801	0264-1801	1982-01-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=PMS		PMS		fulltext		Cambridge University Press	Serial								P	
Psychophysiology	0048-5772	1469-8986	1998-01-01	35	01	2002-11-01	39	06	http://journals.cambridge.org/action/displayBackIssues?jid=PGY		PGY		fulltext		Cambridge University Press	Serial								P	
Public Health Nutrition	1368-9800	1475-2727	1998-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=PHN		PHN		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=PHN&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Quarterly Reviews of Biophysics	0033-5835	1469-8994	1968-05-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=QRB		QRB		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=QRB&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Queensland Review	1321-8166	2049-7792	2011-01-01	18	01				http://journals.cambridge.org/action/displayBackIssues?jid=QRE		QRE		fulltext		Cambridge University Press	Serial								P	
RAIRO - Operations Research	0399-0559	1290-3868	1999-01-01	33	01				http://journals.cambridge.org/action/displayBackIssues?jid=ROE		ROE		fulltext		EDP Sciences	Serial								P	
RAIRO - Theoretical Informatics and Applications	0988-3754	1290-385X	1999-01-01	33	01				http://journals.cambridge.org/action/displayBackIssues?jid=ITA		ITA		fulltext		EDP Sciences	Serial								P	
Radioprotection	0033-8451	1769-700X	1990-01-01	25	01				http://journals.cambridge.org/action/displayBackIssues?jid=RAD		RAD		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=RAD&tab=openaccess for available Open Access articles	EDP Sciences	Serial								P	
Ramus	0048-671x	2202-932X	1972-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=RMU		RMU		fulltext		Cambridge University Press	Serial								P	
ReCALL	0958-3440	1474-0109	1989-11-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=REC		REC		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=REC&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Religious Studies	0034-4125	1469-901X	1965-10-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=RES		RES		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=RES&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Renewable Agriculture and Food Systems	1742-1705	1742-1713	2004-03-01	19	01				http://journals.cambridge.org/action/displayBackIssues?jid=RAF		RAF		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=RAF&tab=openaccess for available Open Access articles	Cambridge University Press	Serial							AJA	P	
Reproductive Medicine Review	0962-2799	1469-9028	1992-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=RMR		RMR		fulltext		Cambridge University Press	Serial								P	
Review of International Studies	0260-2105	1469-9044	1975-04-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=RIS		RIS		fulltext		Cambridge University Press	Serial								P	
Reviews in Clinical Gerontology	n/a	1469-9036	1991-02-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=RCG		RCG		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=RCG&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Revista Internacional de la Cruz Roja	0250-569X	0250-569X	1976-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=RCS		RCS		fulltext		Cambridge University Press	Serial								P	
Revista de Historia Económica	0212-6109	2041-3335	1983-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=RHE		RHE		fulltext		Cambridge University Press	Serial								P	
Risk, Decision and Policy	1357-5309	1466-4534	2000-04-01	5	01	2002-12-01	7	03	http://journals.cambridge.org/action/displayBackIssues?jid=RDP		RDP		fulltext		Cambridge University Press	Serial								P	
Robotica	0263-5747	1469-8668	1983-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=ROB		ROB		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=ROB&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Royal Institute of Philosophy Supplements	1358-2461	1755-3555	1968-03-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=PHS		PHS		fulltext		Cambridge University Press	Serial								P	
Rural History	0956-7933	1474-0656	1990-04-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=RUH		RUH		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=RUH&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Science in Context	0269-8897	1474-0664	1987-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=SIC		SIC		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=SIC&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Scottish Journal of Theology	0036-9306	1475-3065	1948-02-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=SJT		SJT		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=SJT&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Seed Science Research	0960-2585	1475-2735	1991-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=SSR		SSR		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=SSR&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Social Anthropology	0964-0282	1469-8676	1999-02-01	7	01				http://journals.cambridge.org/action/displayBackIssues?jid=SAN		SAN		fulltext		Cambridge University Press	Serial								P	
Social Philosophy and Policy	0265-0525	1471-6437	1983-09-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=SOY		SOY		fulltext		Cambridge University Press	Serial								P	
Social Policy and Society	1474-7464	1475-3073	2002-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=SPS		SPS		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=SPS&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Social Science History	0145-5532	1527-8034	2014-01-01	38	1-2				http://journals.cambridge.org/action/displayBackIssues?jid=SSH		SSH		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=SSH&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Sociology	0038-0385	1469-8684	1998-08-01	32	03	2001-11-01	35	04	http://journals.cambridge.org/action/displayBackIssues?jid=SOC		SOC		fulltext		Cambridge University Press	Serial								P	
South Pacific Journal of Psychology	0257-5434	0257-5434	1984-11-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=SPP		SPP		fulltext		Cambridge University Press	Serial								P	
Speculum	0038-7134	2040-8072	1926-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=SPC		SPC		fulltext		Cambridge University Press	Serial								P	
Studies in American Political Development	0898-588X	1469-8692	1986-03-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=SAP		SAP		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=SAP&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Studies in Second Language Acquisition	0272-2631	1470-1545	1978-09-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=SLA		SLA		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=SLA&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Systematics and Biodiversity	1477-2000	1478-0933	2003-05-01	1	01	2009-12-01	7	04	http://journals.cambridge.org/action/displayBackIssues?jid=SYS		SYS		fulltext		Cambridge University Press	Serial								P	
TEMPO	0040-2982	1478-2286	2003-01-01	57	223				http://journals.cambridge.org/action/displayBackIssues?jid=TEM		TEM		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=TEM&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
TRaNS: Trans-Regional and -National Studies of Southeast Asia	2051-364X	2051-3658	2013-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=TRN		TRN		fulltext		Cambridge University Press	Serial								P	
Thalamus & Related Systems	1472-9288	1744-8107	2001-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=THL		THL		fulltext		Cambridge University Press	Serial								P	
The ANZIAM Journal	1446-1811	1446-8735	1975-06-01	19	01				http://journals.cambridge.org/action/displayBackIssues?jid=ANZ		ANZ		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=ANZ&tab=openaccess for available Open Access articles	Cambridge University Press	Serial							JAZ	P	
The Americas: A Quarterly Review of Latin American History	0003-1615	1533-6247	2009-07-01	66	01				http://journals.cambridge.org/action/displayBackIssues?jid=TAM		TAM		fulltext		Cambridge University Press	Serial								P	
The Antiquaries Journal	0003-5815	1758-5309	1921-04-01	1	02				http://journals.cambridge.org/action/displayBackIssues?jid=ANT		ANT		fulltext		Cambridge University Press	Serial								P	
The Australian Educational and Developmental Psychologist	0816-5122	1839-2504	2008-06-01	25	01				http://journals.cambridge.org/action/displayBackIssues?jid=EDP		EDP		fulltext		Cambridge University Press	Serial								P	
The Australian Journal of Indigenous Education	1326-0111	2049-7784	2011-01-01	40					http://journals.cambridge.org/action/displayBackIssues?jid=JIE		JIE		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=JIE&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
The Australian Journal of Rehabilitation Counselling	1323-8922	1838-6059	2006-04-01	12	01				http://journals.cambridge.org/action/displayBackIssues?jid=JRC		JRC		fulltext		Cambridge University Press	Serial								P	
The British Journal for the History of Science	0007-0874	1474-001X	1962-06-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=BJH		BJH		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=BJH&tab=openaccess for available Open Access articles	Cambridge University Press	Serial							BBH	P	
The Cambridge Classical Journal	1750-2705	2047-993X	1882-01-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=CCJ		CCJ		fulltext		Cambridge University Press	Serial								P	
The Cambridge Law Journal	0008-1973	1469-2139	1921-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=CLJ		CLJ		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=CLJ&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
The Canadian Entomologist	0008-347X	1918-3240	1868-08-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=TCE		TCE		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=TCE&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
The China Quarterly	0305-7410	1468-2648	1960-03-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=CQY		CQY		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=CQY&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
The Classical Quarterly	0009-8388	1471-6844	1907-04-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=CAQ		CAQ		fulltext		Cambridge University Press	Serial								P	
The Classical Review	0009-840X	1464-3561	1887-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=CAR		CAR		fulltext		Cambridge University Press	Serial								P	
The European Physical Journal - Applied Physics	1286-0042	1286-0050	1998-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=JAP		JAP		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=JAP&tab=openaccess for available Open Access articles	EDP Sciences	Serial								P	
The Historical Journal	0018-246X	1469-5103	1958-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=HIS		HIS		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=HIS&tab=openaccess for available Open Access articles	Cambridge University Press	Serial							CHJ	P	
The International Journal of Asian Studies	1479-5914	1479-5922	2004-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=ASI		ASI		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=ASI&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
The International Journal of Neuropsychopharmacology	1461-1457	1469-5111	1998-07-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=PNP		PNP		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=PNP&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
The Journal of African History	0021-8537	1469-5138	1960-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=AFH		AFH		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=AFH&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
The Journal of Agricultural Science	0021-8596	1469-5146	1905-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=AGS		AGS		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=AGS&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
The Journal of Asian Studies	0021-9118	1752-0401	1941-11-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=JAS		JAS		fulltext		Cambridge University Press	Serial								P	
The Journal of Child Psychology and Psychiatry and Allied Disciplines	0021-9630	1469-7610	1998-01-01	39	01	2001-11-01	42	08	http://journals.cambridge.org/action/displayBackIssues?jid=CPP		CPP		fulltext		Cambridge University Press	Serial								P	
The Journal of Classics Teaching	n/a	2058-6310	2015-03-01	16	31				http://journals.cambridge.org/action/displayBackIssues?jid=JCT		JCT		fulltext		Cambridge University Press	Serial								F	
The Journal of Ecclesiastical History	0022-0469	1469-7637	1950-04-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=ECH		ECH		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=ECH&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
The Journal of Economic History	0022-0507	1471-6372	1941-05-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=JEH		JEH		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=JEH&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
The Journal of Hellenic Studies	0075-4269	2041-4099	1880-11-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=JHS		JHS		fulltext		Cambridge University Press	Serial								P	
The Journal of Laryngology & Otology	0022-2151	1748-5460	1887-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=JLO		JLO		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=JLO&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
The Journal of Modern African Studies	0022-278X	1469-7777	1963-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=MOA		MOA		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=MOA&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
The Journal of Navigation	0373-4633	1469-7785	1948-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=NAV		NAV		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=NAV&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
The Journal of Politics	0022-3816	1468-2508	1939-02-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=JOP		JOP		fulltext		Cambridge University Press	Serial								P	
The Journal of Roman Studies	0075-4358	1753-528X	1911-11-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=JRS		JRS		fulltext		Cambridge University Press	Serial								P	
The Journal of the Gilded Age and Progressive Era	1537-7814	1943-3557	2002-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=JGA		JGA		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=JGA&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
The Knowledge Engineering Review	0269-8889	1469-8005	1984-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=KER		KER		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=KER&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
The Lichenologist	0024-2829	1096-1135	1958-11-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=LIC		LIC		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=LIC&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
The Mathematical Gazette	0025-5572	2056-6328	2010-03-01	94	529				http://journals.cambridge.org/action/displayBackIssues?jid=MAG		MAG		fulltext		Cambridge University Press	Serial								P	
The Review of Politics	0034-6705	1748-6858	1939-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=ROP		ROP		fulltext		Cambridge University Press	Serial								P	
The Review of Symbolic Logic	1755-0203	1755-0211	2008-06-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=RSL		RSL		fulltext		Cambridge University Press	Serial								P	
The Spanish Journal of Psychology	n/a	1988-2904	1998-05-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=SJP		SJP		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=SJP&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Theatre Research International	0307-8833	1474-0672	1975-10-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=TRI		TRI		fulltext		Cambridge University Press	Serial								P	
Theatre Survey	0040-5574	1475-4533	1960-05-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=TSY		TSY		fulltext		Cambridge University Press	Serial								P	
Theory and Practice of Logic Programming	1471-0684	1475-3081	2001-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=TLP		TLP		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=TLP&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Think	1477-1756	1755-1196	2002-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=THI		THI		fulltext		Cambridge University Press	Serial								P	
Transactions of the Actuarial Society of Edinburgh	2046-0562		1886-01-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=TAS		TAS		fulltext		Cambridge University Press	Serial								P	
Transactions of the Faculty of Actuaries	0071-3686		1903-01-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=TFA		TFA		fulltext		Cambridge University Press	Serial								P	
Transactions of the Institute of Actuaries	2047-2838		1849-01-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=TIA		TIA		fulltext		Cambridge University Press	Serial								P	
Transactions of the Royal Asiatic Society of Great Britain and Ireland	0950-4737	0950-4737	1827-01-01	1		1834-07-01	3	03	http://journals.cambridge.org/action/displayBackIssues?jid=TRA		TRA		fulltext		Cambridge University Press	Serial								P	
Transactions of the Royal Historical Society	0080-4401	1474-0648	1872-12-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=RHT		RHT		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=RHT&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Transnational Environmental Law	2047-1025	2047-1033	2012-04-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=TEL		TEL		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=TEL&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Twentieth-Century Music	1478-5722	1478-5730	2004-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=TCM		TCM		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=TCM&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Twin Research and Human Genetics	1832-4274	1839-2628	1998-02-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=THG		THG		fulltext		Cambridge University Press	Serial							AMG	P	
Urban History	0963-9268	1469-8706	1974-05-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=UHY		UHY		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=UHY&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Utilitas	0953-8208	1741-6183	1989-05-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=UTI		UTI		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=UTI&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Victorian Literature and Culture	1060-1503	1470-1553	1973-01-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=VLC		VLC		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=VLC&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Visual Neuroscience	0952-5238	1469-8714	1988-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=VNS		VNS		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=VNS&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Wireless Power Transfer	2052-8418	2052-8418	2014-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=WPT		WPT		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=WPT&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Work, Employment and Society	0950-0170	1469-8722	1998-09-01	12	03	2001-12-01	15	04	http://journals.cambridge.org/action/displayBackIssues?jid=WES		WES		fulltext		Cambridge University Press	Serial								P	
World Politics	0043-8871	1086-3338	1948-10-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=WPO		WPO		fulltext		Cambridge University Press	Serial								P	
World Trade Review	1474-7456	1475-3138	2002-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=WTR		WTR		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=WTR&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
World's Poultry Science Journal	0043-9339	1743-4777	1945-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=WPS		WPS		fulltext		Cambridge University Press	Serial							IPS	P	
Yearbook of International Humanitarian Law	1389-1359	1574-096X	1998-12-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=YHL		YHL		fulltext		Cambridge University Press	Serial								P	
Zygote	0967-1994	1469-8730	1993-02-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=ZYG		ZYG		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=ZYG&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
animal	1751-7311	1751-732X	2007-02-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=ANM		ANM		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=ANM&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
arq: Architectural Research Quarterly	1359-1355	1474-0516	1995-09-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=ARQ		ARQ		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=ARQ&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
